Date,State,Station,Station No.,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
1/5/19,ACT,Canberra Airport ,70351,6.5,20.8,0,NNW,33
2/5/19,ACT,Canberra Airport ,70351,8.8,23.8,0,NNW,26
3/5/19,ACT,Canberra Airport ,70351,15.2,20.4,20.8,NNW,43
4/5/19,ACT,Canberra Airport ,70351,5,19,0.6,SSE,41
5/5/19,ACT,Canberra Airport ,70351,4.9,17.4,0,S,48
6/5/19,ACT,Canberra Airport ,70351,2.2,16.6,0,N,30
7/5/19,ACT,Canberra Airport ,70351,0,15.5,0,NNW,48
8/5/19,ACT,Canberra Airport ,70351,1.4,13.1,1.8,WNW,54
9/5/19,ACT,Canberra Airport ,70351,0.8,14.4,0,N,39
10/5/19,ACT,Canberra Airport ,70351,3.4,11,0,NW,46
11/5/19,ACT,Canberra Airport ,70351,4.4,16.2,10.4,NNW,31
12/5/19,ACT,Canberra Airport ,70351,0.2,12,0.2,NNE,15
13/5/19,ACT,Canberra Airport ,70351,0.7,17.3,0.2,NNW,30
14/5/19,ACT,Canberra Airport ,70351,0.3,18.1,0,NW,19
15/5/19,ACT,Canberra Airport ,70351,-1.6,17.5,0,NNW,19
16/5/19,ACT,Canberra Airport ,70351,2,19,0,W,19
17/5/19,ACT,Canberra Airport ,70351,0.3,19.1,0,NW,33
18/5/19,ACT,Canberra Airport ,70351,-0.1,19.2,0,SE,19
19/5/19,ACT,Canberra Airport ,70351,3.6,18.9,0,NNW,17
20/5/19,ACT,Canberra Airport ,70351,4.6,19.4,0,NNW,35
21/5/19,ACT,Canberra Airport ,70351,5.7,21.3,0,NW,37
22/5/19,ACT,Canberra Airport ,70351,3.4,20.7,0,N,20
23/5/19,ACT,Canberra Airport ,70351,6.8,19.4,0,NW,28
24/5/19,ACT,Canberra Airport ,70351,-0.3,17.4,0,NNW,26
25/5/19,ACT,Canberra Airport ,70351,1.8,20,0,NW,44
26/5/19,ACT,Canberra Airport ,70351,8.6,14.4,8,WNW,46
27/5/19,ACT,Canberra Airport ,70351,5.8,9.1,0.4,NNW,63
28/5/19,ACT,Canberra Airport ,70351,4.2,10.4,0.4,NW,61
29/5/19,ACT,Canberra Airport ,70351,6.5,9.8,1.2,NW,69
30/5/19,ACT,Canberra Airport ,70351,1.1,11,2.2,WSW,37
31/5/19,ACT,Canberra Airport ,70351,-2.7,12,0,N,31
1/6/19,ACT,Canberra Airport ,70351,-0.7,15.2,0.2,S,30
2/6/19,ACT,Canberra Airport ,70351,-1.6,15.7,0,NNW,30
3/6/19,ACT,Canberra Airport ,70351,2.9,11.4,0.4,S,57
4/6/19,ACT,Canberra Airport ,70351,4.4,11.4,3.6,S,69
5/6/19,ACT,Canberra Airport ,70351,3.3,12.3,0,S,46
6/6/19,ACT,Canberra Airport ,70351,-3.9,14.6,0,W,19
7/6/19,ACT,Canberra Airport ,70351,-1.3,17,0.2,SE,17
8/6/19,ACT,Canberra Airport ,70351,-0.1,11.2,0,NNW,20
9/6/19,ACT,Canberra Airport ,70351,0.6,16,0,NW,28
10/6/19,ACT,Canberra Airport ,70351,4.5,14.5,0.4,NNW,54
11/6/19,ACT,Canberra Airport ,70351,3.8,16.3,2.8,NW,26
12/6/19,ACT,Canberra Airport ,70351,0.6,17.4,0,NNW,50
13/6/19,ACT,Canberra Airport ,70351,5.8,16.5,1.8,NW,39
14/6/19,ACT,Canberra Airport ,70351,-2.2,14.5,0,WNW,30
15/6/19,ACT,Canberra Airport ,70351,-1.4,13.7,0,NW,19
16/6/19,ACT,Canberra Airport ,70351,-0.8,13.2,0.2,NNW,17
17/6/19,ACT,Canberra Airport ,70351,1.1,15.6,0,SE,26
18/6/19,ACT,Canberra Airport ,70351,0.5,13.7,0,NW,37
19/6/19,ACT,Canberra Airport ,70351,-2.7,11.9,0.4,WNW,26
20/6/19,ACT,Canberra Airport ,70351,-4.4,11,0,N,31
21/6/19,ACT,Canberra Airport ,70351,-4.9,11.4,0,S,37
22/6/19,ACT,Canberra Airport ,70351,-1.5,11.5,0,S,35
23/6/19,ACT,Canberra Airport ,70351,-3.8,10.8,0.2,SSW,39
24/6/19,ACT,Canberra Airport ,70351,-0.8,13.6,0,ESE,33
25/6/19,ACT,Canberra Airport ,70351,-2.2,15.9,0,SSE,19
