,Date,State,Station,Station No.,latitude,longitude,Min Temp(°C),Max Temp(°C),Rain(mm),Max Wind Dir,Max Wind Spd(km/h)
0,2019-05-01,ACT,Canberra Airport ,70351,-35.3088,149.2003,6.5,20.8,0.0,NNW,33.0
1,2019-05-02,ACT,Canberra Airport ,70351,-35.3088,149.2003,8.8,23.8,0.0,NNW,26.0
2,2019-05-03,ACT,Canberra Airport ,70351,-35.3088,149.2003,15.2,20.4,20.8,NNW,43.0
3,2019-05-04,ACT,Canberra Airport ,70351,-35.3088,149.2003,5.0,19.0,0.6,SSE,41.0
4,2019-05-05,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.9,17.4,0.0,S,48.0
5,2019-05-06,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.2,16.6,0.0,N,30.0
6,2019-05-07,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.0,15.5,0.0,NNW,48.0
7,2019-05-08,ACT,Canberra Airport ,70351,-35.3088,149.2003,1.4,13.1,1.8,WNW,54.0
8,2019-05-09,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.8,14.4,0.0,N,39.0
9,2019-05-10,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.4,11.0,0.0,NW,46.0
10,2019-05-11,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.4,16.2,10.4,NNW,31.0
11,2019-05-12,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.2,12.0,0.2,NNE,15.0
12,2019-05-13,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.7,17.3,0.2,NNW,30.0
13,2019-05-14,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.3,18.1,0.0,NW,19.0
14,2019-05-15,ACT,Canberra Airport ,70351,-35.3088,149.2003,-1.6,17.5,0.0,NNW,19.0
15,2019-05-16,ACT,Canberra Airport ,70351,-35.3088,149.2003,2.0,19.0,0.0,W,19.0
16,2019-05-17,ACT,Canberra Airport ,70351,-35.3088,149.2003,0.3,19.1,0.0,NW,33.0
17,2019-05-18,ACT,Canberra Airport ,70351,-35.3088,149.2003,-0.1,19.2,0.0,SE,19.0
18,2019-05-19,ACT,Canberra Airport ,70351,-35.3088,149.2003,3.6,18.9,0.0,NNW,17.0
19,2019-05-20,ACT,Canberra Airport ,70351,-35.3088,149.2003,4.6,19.4,0.0,NNW,35.0
