Date,State,Avg Max Temp(°C),Avg Rain(mm)
2019-05-01,ACT,20.55,0.0
2019-05-01,NSW,23.666666666666668,0.0
2019-05-01,NT,32.03333333333333,1.6666666666666667
2019-05-01,QLD,27.950000000000003,2.1500000000000004
2019-05-01,SA,21.225,5.45
2019-05-01,TAS,20.299999999999997,0.0
2019-05-01,VIC,20.950000000000003,4.6
2019-05-01,WA,22.900000000000002,0.0
2019-05-02,ACT,23.25,0.0
2019-05-02,NSW,23.933333333333334,0.0
2019-05-02,NT,29.03333333333333,0.9333333333333332
2019-05-02,QLD,27.95,3.9499999999999997
2019-05-02,SA,19.65,4.15
2019-05-02,TAS,18.25,3.0
2019-05-02,VIC,20.75,11.7
2019-05-02,WA,24.133333333333336,0.06666666666666667
2019-05-03,ACT,20.299999999999997,21.4
2019-05-03,NSW,21.8,0.0
2019-05-03,NT,28.96666666666667,1.0
2019-05-03,QLD,26.566666666666666,2.333333333333333
2019-05-03,SA,18.75,2.55
2019-05-03,TAS,17.950000000000003,15.05
2019-05-03,VIC,19.2,23.400000000000002
2019-05-03,WA,28.433333333333337,0.0
2019-05-04,ACT,18.25,0.7
2019-05-04,NSW,22.36666666666667,7.8
2019-05-04,NT,28.366666666666664,7.6000000000000005
2019-05-04,QLD,26.674999999999997,0.25
2019-05-04,SA,17.15,3.15
2019-05-04,TAS,17.6,0.7333333333333334
2019-05-04,VIC,17.6,0.0
2019-05-04,WA,30.0,0.6666666666666666
2019-05-05,ACT,17.2,0.0
2019-05-05,NSW,19.86666666666667,0.0
2019-05-05,NT,27.5,0.0
2019-05-05,QLD,27.0,2.8
2019-05-05,SA,17.525,0.05
2019-05-05,TAS,15.899999999999999,0.13333333333333333
2019-05-05,VIC,18.700000000000003,0.0
2019-05-05,WA,30.333333333333332,0.06666666666666667
2019-05-06,ACT,16.65,0.3
2019-05-06,NSW,20.9,2.533333333333333
2019-05-06,NT,27.96666666666667,0.0
2019-05-06,QLD,26.375,0.0
2019-05-06,SA,19.075,0.0
2019-05-06,TAS,14.1,0.06666666666666667
2019-05-06,VIC,18.0,0.0
2019-05-06,WA,26.566666666666663,2.4
2019-05-07,ACT,15.95,0.0
2019-05-07,NSW,22.633333333333336,0.0
2019-05-07,NT,29.599999999999998,0.0
2019-05-07,QLD,26.924999999999997,0.0
2019-05-07,SA,20.4,0.1
2019-05-07,TAS,15.0,0.0
2019-05-07,VIC,17.95,0.0
2019-05-07,WA,25.8,0.0
2019-05-08,ACT,13.2,1.8
2019-05-08,NSW,20.633333333333336,0.0
2019-05-08,NT,27.633333333333336,0.0
2019-05-08,QLD,27.95,0.0
2019-05-08,SA,18.025000000000002,11.8
2019-05-08,TAS,16.86666666666667,4.133333333333334
2019-05-08,VIC,15.55,2.1
2019-05-08,WA,26.2,0.0
2019-05-09,ACT,14.45,0.0
2019-05-09,NSW,20.9,0.0
2019-05-09,NT,26.36666666666667,0.0
2019-05-09,QLD,27.1,0.0
2019-05-09,SA,14.5,4.85
2019-05-09,TAS,14.833333333333334,1.2
2019-05-09,VIC,15.5,0.0
2019-05-09,WA,24.366666666666664,0.0
2019-05-10,ACT,10.9,0.0
2019-05-10,NSW,20.3,0.0
2019-05-10,NT,22.899999999999995,0.0
2019-05-10,QLD,28.125,0.1
2019-05-10,SA,15.250000000000002,8.75
2019-05-10,TAS,13.066666666666668,2.9333333333333336
2019-05-10,VIC,13.45,7.800000000000001
2019-05-10,WA,24.333333333333332,0.0
2019-05-11,ACT,16.2,13.7
2019-05-11,NSW,21.266666666666666,0.0
